"日付","取引数","売上高(税込)","売上高(税込・10%対象)","売上高(税込・8%対象)","売上高(税抜)","売上高(税抜・10%対象)","売上高(税抜・8%対象)","売上高(非課税)","消費税(金額)","消費税(10%)","消費税(8%)","現計(取引数)","現計(税込金額)","現計(税抜金額)","信計(取引数)","信計(取引数内訳)","信計(税込金額)","信計(税込金額内訳)","信計(税抜金額)","信計(税抜金額内訳)","その他(取引数)","その他(取引数内訳)","その他(税込金額)","その他(税込金額内訳)","その他(税抜金額)","その他(税抜金額内訳)","現金値引(取引数)","現金値引(税込金額)","現金値引(税抜金額)","クーポン値引(取引数)","クーポン値引(税込金額)","クーポン値引(税抜金額)","クーポン値引(内訳)","端数値引","サービス料(取引数)","サービス料(税込金額)","サービス料(税抜金額)","深夜料(取引数)","深夜料(税込金額)","深夜料(税抜金額)","客数","男","女","客単価(税込)","客単価(税抜)","過不足"
"10/1(金)","21","18411","22","18389","17049","22","17027","0","1362","0","1362","14","11008","10194","7","JCB(1)/MASTER(4)/交通系IC(1)/iD(1)","7403","JCB(1472)/MASTER(4804)/交通系IC(597)/iD(530)","6856","JCB(1363)/MASTER(4449)/交通系IC(553)/iD(491)","0","","0","","0","","2","664","616","0","0","0","","0","0","0","0","0","0","0","21","0","0","877","812","0"
"10/2(土)","105","104108","73","104035","96418","73","96345","0","7690","0","7690","59","56134","51988","46","iD(7)/選択なし(1)/交通系IC(24)/MASTER(8)/JCB(4)/WAON(2)","47974","iD(6806)/選択なし(1167)/交通系IC(19481)/MASTER(15071)/JCB(4022)/WAON(1427)","44431","iD(6303)/選択なし(1081)/交通系IC(18042)/MASTER(13958)/JCB(3725)/WAON(1322)","0","","0","","0","","1","237","219","0","0","0","","0","0","0","0","0","0","0","105","0","0","992","918","0"
"10/3(日)","81","80360","88","80272","74427","88","74339","0","5933","0","5933","52","52296","48435","29","JCB(4)/交通系IC(14)/iD(3)/MASTER(8)","28064","JCB(3050)/交通系IC(12722)/iD(2453)/MASTER(9839)","25993","JCB(2825)/交通系IC(11783)/iD(2272)/MASTER(9113)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","81","0","0","992","919","0"
"10/4(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10/5(火)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10/6(水)","53","45191","39","45152","41856","39","41817","0","3335","0","3335","31","25791","23888","22","選択なし(1)/交通系IC(14)/MASTER(5)/JCB(1)/iD(1)","19400","選択なし(843)/交通系IC(11264)/MASTER(6252)/JCB(249)/iD(792)","17970","選択なし(781)/交通系IC(10433)/MASTER(5791)/JCB(231)/iD(734)","0","","0","","0","","1","273","253","0","0","0","","0","0","0","0","0","0","0","53","0","0","853","790","0"
"10/7(木)","63","48648","34","48614","45054","34","45020","0","3594","0","3594","38","28692","26572","25","交通系IC(15)/QUICPay(2)/WAON(1)/JCB(4)/MASTER(3)","19956","交通系IC(10199)/QUICPay(778)/WAON(476)/JCB(5620)/MASTER(2883)","18483","交通系IC(9446)/QUICPay(721)/WAON(441)/JCB(5205)/MASTER(2670)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","63","0","0","772","715","0"
"10/8(金)","58","53445","47","53398","49504","47","49457","0","3941","0","3941","33","33226","30776","25","選択なし(2)/MASTER(5)/JCB(1)/iD(2)/QUICPay(1)/交通系IC(14)","20219","選択なし(2238)/MASTER(5048)/JCB(567)/iD(3371)/QUICPay(394)/交通系IC(8601)","18728","選択なし(2073)/MASTER(4676)/JCB(525)/iD(3122)/QUICPay(365)/交通系IC(7967)","0","","0","","0","","1","243","225","0","0","0","","0","0","0","0","0","0","0","58","0","0","921","854","0"
"10/9(土)","82","82981","76","82905","76855","76","76779","0","6126","0","6126","49","48759","45159","33","iD(8)/MASTER(8)/JCB(4)/交通系IC(12)/QUICPay(1)","34222","iD(8550)/MASTER(10920)/JCB(4482)/交通系IC(9978)/QUICPay(292)","31695","iD(7919)/MASTER(10114)/JCB(4151)/交通系IC(9241)/QUICPay(270)","0","","0","","0","","2","408","378","0","0","0","","0","0","0","0","0","0","0","82","0","0","1012","937","0"
"10/10(日)","76","78383","73","78310","72596","73","72523","0","5787","0","5787","51","47888","44352","25","交通系IC(15)/QUICPay(2)/MASTER(4)/JCB(3)/WAON(1)","30495","交通系IC(16042)/QUICPay(1884)/MASTER(6127)/JCB(5682)/WAON(760)","28245","交通系IC(14858)/QUICPay(1745)/MASTER(5675)/JCB(5263)/WAON(704)","0","","0","","0","","1","750","695","0","0","0","","0","0","0","0","0","0","0","76","0","0","1031","955","0"
"10/11(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10/12(火)","41","35852","17","35835","33207","17","33190","0","2645","0","2645","28","21969","20348","13","交通系IC(5)/MASTER(3)/JCB(2)/iD(3)","13883","交通系IC(4120)/MASTER(4772)/JCB(1149)/iD(3842)","12859","交通系IC(3816)/MASTER(4420)/JCB(1064)/iD(3559)","0","","0","","0","","1","188","174","0","0","0","","0","0","0","0","0","0","0","41","0","0","874","810","0"
"10/13(水)","52","37232","20","37212","34483","20","34463","0","2749","0","2749","30","21608","20013","22","MASTER(5)/交通系IC(11)/JCB(2)/選択なし(2)/iD(2)","15624","MASTER(4006)/交通系IC(6688)/JCB(1635)/選択なし(1754)/iD(1541)","14469","MASTER(3710)/交通系IC(6194)/JCB(1514)/選択なし(1624)/iD(1427)","0","","0","","0","","1","275","255","0","0","0","","0","0","0","0","0","0","0","52","0","0","716","663","0"
"10/14(木)","67","67751","54","67697","62744","54","62690","0","5007","0","5007","38","37875","35076","29","交通系IC(15)/JCB(1)/MASTER(9)/iD(3)/選択なし(1)","29876","交通系IC(10551)/JCB(1161)/MASTER(13357)/iD(4039)/選択なし(768)","27668","交通系IC(9771)/JCB(1075)/MASTER(12370)/iD(3741)/選択なし(711)","0","","0","","0","","1","260","240","0","0","0","","0","0","0","0","0","0","0","67","0","0","1011","936","0"
"10/15(金)","57","47546","22","47524","44034","22","44012","0","3512","0","3512","35","26951","24960","22","交通系IC(11)/MASTER(9)/JCB(1)/QUICPay(1)","20595","交通系IC(6339)/MASTER(11209)/JCB(1599)/QUICPay(1448)","19074","交通系IC(5871)/MASTER(10381)/JCB(1481)/QUICPay(1341)","0","","0","","0","","1","337","312","0","0","0","","0","0","0","0","0","0","0","57","0","0","834","773","0"
"10/16(土)","78","89897","72","89825","83261","72","83189","0","6636","0","6636","48","54485","50463","30","JCB(3)/選択なし(1)/交通系IC(11)/MASTER(10)/QUICPay(1)/iD(4)","35412","JCB(4282)/選択なし(1157)/交通系IC(11271)/MASTER(15029)/QUICPay(367)/iD(3306)","32799","JCB(3966)/選択なし(1072)/交通系IC(10439)/MASTER(13920)/QUICPay(340)/iD(3062)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","78","0","0","1153","1067","0"
"10/17(日)","71","68617","58","68559","63553","58","63495","0","5064","0","5064","37","36249","33574","34","選択なし(1)/交通系IC(22)/MASTER(4)/iD(3)/JCB(1)/QUICPay(2)/WAON(1)","32368","選択なし(1633)/交通系IC(18993)/MASTER(3409)/iD(2546)/JCB(2880)/QUICPay(1642)/WAON(1265)","29978","選択なし(1512)/交通系IC(17591)/MASTER(3157)/iD(2358)/JCB(2667)/QUICPay(1521)/WAON(1172)","0","","0","","0","","1","545","505","0","0","0","","0","0","0","0","0","0","0","71","0","0","966","895","0"
"10/18(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10/19(火)","56","50474","44","50430","46749","44","46705","0","3725","0","3725","37","30584","28327","19","MASTER(4)/JCB(3)/交通系IC(8)/iD(4)","19890","MASTER(6552)/JCB(4217)/交通系IC(5447)/iD(3674)","18422","MASTER(6068)/JCB(3906)/交通系IC(5045)/iD(3403)","0","","0","","0","","1","201","186","0","0","0","","0","0","0","0","0","0","0","56","0","0","901","835","0"
"10/20(水)","76","61839","66","61773","57274","66","57208","0","4565","0","4565","51","43056","39878","25","MASTER(5)/交通系IC(14)/iD(5)/JCB(1)","18783","MASTER(3936)/交通系IC(9757)/iD(4841)/JCB(249)","17397","MASTER(3645)/交通系IC(9037)/iD(4484)/JCB(231)","0","","0","","0","","2","926","857","0","0","0","","0","0","0","0","0","0","0","76","0","0","814","754","0"
"10/21(木)","56","50693","61","50632","46958","61","46897","0","3735","0","3735","38","34976","32399","18","JCB(2)/MASTER(5)/iD(2)/交通系IC(8)/QUICPay(1)","15717","JCB(1904)/MASTER(3729)/iD(2153)/交通系IC(7116)/QUICPay(815)","14559","JCB(1764)/MASTER(3454)/iD(1994)/交通系IC(6592)/QUICPay(755)","0","","0","","0","","2","571","528","0","0","0","","0","0","0","0","0","0","0","56","0","0","905","839","0"
"10/22(金)","44","41111","57","41054","38077","57","38020","0","3034","0","3034","32","27486","25458","13","選択なし(1)/JMS連携 交通系IC(1)/交通系IC(5)/MASTER(3)/JCB(1)/iD(1)/QUICPay(1)","13625","選択なし(1243)/JMS連携 交通系IC(465)/交通系IC(3273)/MASTER(4669)/JCB(1960)/iD(1221)/QUICPay(794)","12618","選択なし(1151)/JMS連携 交通系IC(431)/交通系IC(3031)/MASTER(4324)/JCB(1815)/iD(1131)/QUICPay(735)","0","","0","","0","","2","367","339","0","0","0","","0","0","0","0","0","0","0","44","0","0","934","865","0"
"10/23(土)","101","101686","82","101604","94182","82","94100","0","7504","0","7504","67","62258","57664","34","交通系IC(9)/MASTER(13)/JCB(5)/WAON(2)/iD(3)/選択なし(1)/QUICPay(1)","39428","交通系IC(8261)/MASTER(14285)/JCB(5073)/WAON(3393)/iD(2803)/選択なし(1897)/QUICPay(3716)","36519","交通系IC(7651)/MASTER(13231)/JCB(4699)/WAON(3143)/iD(2596)/選択なし(1757)/QUICPay(3442)","0","","0","","0","","1","243","225","0","0","0","","0","0","0","0","0","0","0","101","0","0","1007","933","0"
"10/24(日)","93","93958","67","93891","87018","67","86951","0","6940","0","6940","52","48022","44475","41","交通系IC(21)/選択なし(2)/JCB(2)/iD(5)/MASTER(11)","45936","交通系IC(19957)/選択なし(3748)/JCB(2883)/iD(4591)/MASTER(14757)","42543","交通系IC(18483)/選択なし(3471)/JCB(2670)/iD(4252)/MASTER(13667)","0","","0","","0","","1","215","200","0","0","0","","0","0","0","0","0","0","0","93","0","0","1010","936","0"
"10/25(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10/26(火)","55","45823","53","45770","42442","53","42389","0","3381","0","3381","44","36362","33679","11","交通系IC(4)/JCB(1)/MASTER(4)/iD(2)","9461","交通系IC(1893)/JCB(1579)/MASTER(4951)/iD(1038)","8763","交通系IC(1753)/JCB(1463)/MASTER(4586)/iD(961)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","55","0","0","833","772","0"
"10/27(水)","60","56339","40","56299","52177","40","52137","0","4162","0","4162","40","30117","27892","20","交通系IC(12)/MASTER(3)/選択なし(1)/JCB(3)/iD(1)","26222","交通系IC(15612)/MASTER(4243)/選択なし(2052)/JCB(3017)/iD(1298)","24285","交通系IC(14459)/MASTER(3930)/選択なし(1900)/JCB(2794)/iD(1202)","0","","0","","0","","2","516","477","0","0","0","","0","0","0","0","0","0","0","60","0","0","939","870","0"
"10/28(木)","67","56563","64","56499","52391","64","52327","0","4172","0","4172","43","35778","33139","24","JCB(3)/MASTER(7)/交通系IC(10)/iD(3)/WAON(1)","20785","JCB(2003)/MASTER(7423)/交通系IC(7921)/iD(2649)/WAON(789)","19252","JCB(1855)/MASTER(6875)/交通系IC(7337)/iD(2454)/WAON(731)","0","","0","","0","","1","189","175","0","0","0","","0","0","0","0","0","0","0","67","0","0","844","782","0"
"10/29(金)","67","57130","60","57070","52914","60","52854","0","4216","0","4216","43","36164","33495","24","JCB(2)/MASTER(5)/選択なし(1)/iD(5)/交通系IC(9)/WAON(1)/QUICPay(1)","20966","JCB(1932)/MASTER(5076)/選択なし(1157)/iD(3284)/交通系IC(8663)/WAON(541)/QUICPay(313)","19419","JCB(1789)/MASTER(4701)/選択なし(1072)/iD(3042)/交通系IC(8024)/WAON(501)/QUICPay(290)","0","","0","","0","","1","30","28","0","0","0","","0","0","0","0","0","0","0","67","0","0","853","790","0"
"10/30(土)","103","114920","123","114797","106434","123","106311","0","8486","0","8486","60","66211","61322","43","JCB(3)/交通系IC(24)/MASTER(6)/WAON(2)/選択なし(1)/iD(6)/QUICPay(1)","48709","JCB(4372)/交通系IC(24398)/MASTER(9709)/WAON(1022)/選択なし(1814)/iD(6551)/QUICPay(843)","45112","JCB(4049)/交通系IC(22596)/MASTER(8992)/WAON(947)/選択なし(1680)/iD(6067)/QUICPay(781)","0","","0","","0","","2","745","691","0","0","0","","0","0","0","0","0","0","0","103","0","0","1116","1033","0"
"10/31(日)","110","108184","100","108084","100198","100","100098","0","7986","0","7986","66","68613","63548","44","交通系IC(24)/MASTER(11)/JCB(1)/QUICPay(2)/選択なし(1)/iD(5)","39571","交通系IC(19261)/MASTER(12167)/JCB(360)/QUICPay(1610)/選択なし(1851)/iD(4322)","36649","交通系IC(17839)/MASTER(11269)/JCB(333)/QUICPay(1491)/選択なし(1714)/iD(4003)","0","","0","","0","","1","328","303","0","0","0","","0","0","0","0","0","0","0","110","0","0","983","911","0"
"合計","1793","1697142","1512","1695630","1571855","1512","1570343","0","125287","0","125287","1116","1022558","947074","678","JCB(59)/MASTER(162)/交通系IC(332)/iD(79)/選択なし(17)/WAON(11)/QUICPay(17)/JMS連携 交通系IC(1)","674584","JCB(67399)/MASTER(204223)/交通系IC(278405)/iD(76201)/選択なし(23322)/WAON(9673)/QUICPay(14896)/JMS連携 交通系IC(465)","624786","JCB(62423)/MASTER(189146)/交通系IC(257852)/iD(70577)/選択なし(21599)/WAON(8961)/QUICPay(13797)/JMS連携 交通系IC(431)","0","","0","","0","","29","8511","7881","0","0","0","","0","0","0","0","0","0","0","1793","0","0","947","877","0"