年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),平均風速(m/s),平均風速(m/s),平均風速(m/s),平均蒸気圧(hPa),平均蒸気圧(hPa),平均蒸気圧(hPa),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比),天気概況(昼：06時〜18時),天気概況(昼：06時〜18時),天気概況(昼：06時〜18時)
2021/1/1,10.5,8,1,-1.3,8,1,0,1,8,1,8.7,0,8,1,1.5,8,1,3.2,8,1,0.0,8,1,快晴,8,1
2021/1/2,10.8,8,1,0.1,8,1,0,1,8,1,8.8,0,8,1,2.0,8,1,4.5,8,1,2.0,8,1,快晴,8,1
2021/1/3,8.4,8,1,-0.4,8,1,0,1,8,1,8.8,0,8,1,1.6,8,1,4.1,8,1,4.0,8,1,晴,8,1
2021/1/4,11.4,8,1,1.3,8,1,0,1,8,1,7.7,0,8,1,1.8,8,1,4.7,8,1,4.8,8,1,晴一時曇,8,1
2021/1/5,10.0,8,1,2.5,8,1,0,1,8,1,1.0,0,8,1,1.7,8,1,6.4,8,1,10.0,8,1,曇,8,1
2021/1/6,6.8,8,1,3.9,8,1,0.0,0,8,1,0.4,0,8,1,2.4,8,1,6.5,8,1,10.0,8,1,曇,8,1
2021/1/7,12.7,8,1,2.0,8,1,0,1,8,1,7.4,0,8,1,4.0,8,1,4.3,8,1,7.5,8,1,晴一時曇,8,1
2021/1/8,6.5,8,1,-1.5,8,1,0,1,8,1,5.4,0,8,1,1.8,8,1,3.0,8,1,4.0,8,1,晴時々曇,8,1
2021/1/9,8.4,8,1,-1.5,8,1,0,1,8,1,8.5,0,8,1,2.3,8,1,2.2,8,1,2.0,8,1,晴,8,1
2021/1/10,8.1,8,1,-2.4,8,1,0,1,8,1,8.9,0,8,1,2.0,8,1,3.1,8,1,2.3,8,1,快晴,8,1
2021/1/11,6.5,8,1,-1.3,8,1,0,1,8,1,0.8,0,8,1,2.0,8,1,3.4,8,1,7.5,8,1,曇,8,1
2021/1/12,5.7,8,1,1.2,8,1,0.0,0,8,1,0.0,0,8,1,2.3,8,1,5.3,8,1,10.0,8,1,曇後雨一時みぞれ,8,1
2021/1/13,12.5,8,1,-0.5,8,1,0,1,8,1,9.1,0,8,1,1.8,8,1,5.6,8,1,1.3,8,1,快晴,8,1
2021/1/14,14.5,8,1,0.9,8,1,0,1,8,1,9.0,0,8,1,1.8,8,1,5.8,8,1,0.0,8,1,快晴,8,1
2021/1/15,7.6,8,1,4.9,8,1,0.0,0,8,1,0.0,0,8,1,2.1,8,1,6.6,8,1,7.5,8,1,曇,8,1
2021/1/16,18.7,8,1,4.3,8,1,0,1,8,1,8.8,0,8,1,2.7,8,1,7.4,8,1,3.3,8,1,晴,8,1
2021/1/17,8.0,8,1,4.1,8,1,0,1,8,1,0.2,0,8,1,2.2,8,1,4.9,8,1,9.8,8,1,曇,8,1
2021/1/18,8.6,8,1,1.0,8,1,0,1,8,1,5.4,0,8,1,2.0,8,1,5.5,8,1,5.0,8,1,曇後晴,8,1
2021/1/19,9.5,8,1,1.0,8,1,0,1,8,1,9.2,0,8,1,4.1,8,1,3.3,8,1,0.0,8,1,快晴,8,1
2021/1/20,9.5,8,1,0.2,8,1,0,1,8,1,9.2,0,8,1,2.8,8,1,3.3,8,1,0.3,8,1,快晴,8,1
2021/1/21,10.7,8,1,-0.3,8,1,0,1,8,1,9.1,0,8,1,1.8,8,1,4.6,8,1,4.0,8,1,晴,8,1
2021/1/22,16.0,8,1,1.2,8,1,0,1,8,1,7.7,0,8,1,1.4,8,1,5.2,8,1,6.5,8,1,晴後一時曇,8,1
2021/1/23,10.2,8,1,2.7,8,1,19.0,0,8,1,0.0,0,8,1,3.1,8,1,8.1,8,1,10.0,8,1,雨一時曇,8,1
2021/1/24,6.5,8,1,2.3,8,1,13.0,0,8,1,0.0,0,8,1,3.6,8,1,8.0,8,1,10.0,8,1,雨時々曇,8,1
2021/1/25,13.2,8,1,3.8,8,1,1.5,0,8,1,8.8,0,8,1,1.9,8,1,7.5,8,1,7.3,8,1,薄曇一時晴,8,1
2021/1/26,11.2,8,1,2.7,8,1,0,1,8,1,2.2,0,8,1,1.7,8,1,7.6,8,1,5.8,8,1,曇一時晴,8,1
2021/1/27,16.2,8,1,6.4,8,1,1.0,0,8,1,0.8,0,8,1,2.5,8,1,8.3,8,1,9.5,8,1,曇後一時晴,8,1
2021/1/28,7.9,8,1,0.9,8,1,9.0,0,8,1,0.2,0,8,1,2.5,8,1,6.4,8,1,10.0,8,1,曇後雨一時みぞれ,8,1
2021/1/29,10.8,8,1,0.7,8,1,0,1,8,1,7.5,0,8,1,3.2,8,1,4.6,8,1,4.5,8,1,晴,8,1
2021/1/30,9.3,8,1,0.9,8,1,0,1,8,1,9.4,0,8,1,2.9,8,1,2.8,8,1,0.0,8,1,快晴,8,1
2021/1/31,11.9,8,1,-0.4,8,1,0,1,8,1,9.4,0,8,1,2.6,8,1,3.7,8,1,0.0,8,1,快晴,8,1
2021/2/1,14.0,8,1,1.8,8,1,0.0,0,8,1,4.5,0,8,1,2.7,8,1,6.1,8,1,6.5,8,1,曇時々晴、あられを伴う,8,1
2021/2/2,15.6,8,1,4.3,8,1,12.0,0,8,1,4.2,0,8,1,3.2,8,1,7.8,8,1,7.3,8,1,晴時々曇一時雨,8,1
2021/2/3,11.8,8,1,1.0,8,1,0,1,8,1,9.0,0,8,1,2.0,8,1,3.9,8,1,1.3,8,1,晴,8,1
2021/2/4,12.6,8,1,0.6,8,1,0,1,8,1,9.5,0,8,1,2.9,8,1,4.1,8,1,0.0,8,1,快晴,8,1
2021/2/5,12.4,8,1,1.9,8,1,0,1,8,1,8.9,0,8,1,2.4,8,1,5.4,8,1,4.0,8,1,晴一時薄曇,8,1
2021/2/6,15.0,8,1,4.2,8,1,0,1,8,1,9.4,0,8,1,1.7,8,1,6.1,8,1,1.8,8,1,快晴,8,1
2021/2/7,16.3,8,1,4.4,8,1,0.0,0,8,1,9.1,0,8,1,2.4,8,1,5.9,8,1,2.0,8,1,晴後一時曇,8,1
2021/2/8,11.0,8,1,2.8,8,1,0,1,8,1,2.7,0,8,1,3.2,8,1,3.8,8,1,5.8,8,1,曇時々晴,8,1
2021/2/9,9.6,8,1,0.8,8,1,0,1,8,1,9.7,0,8,1,4.0,8,1,2.7,8,1,0.0,8,1,快晴,8,1
2021/2/10,12.1,8,1,1.7,8,1,0,1,8,1,8.0,0,8,1,2.3,8,1,4.7,8,1,5.0,8,1,晴後薄曇,8,1
2021/2/11,14.1,8,1,3.3,8,1,0,1,8,1,9.4,0,8,1,3.5,8,1,4.8,8,1,3.5,8,1,晴後時々薄曇,8,1
2021/2/12,11.7,8,1,3.4,8,1,0,1,8,1,1.5,0,8,1,1.9,8,1,6.0,8,1,10.0,8,1,薄曇,8,1
2021/2/13,16.2,8,1,4.9,8,1,0,1,8,1,9.4,0,8,1,2.4,8,1,8.3,8,1,5.0,8,1,晴時々薄曇,8,1
2021/2/14,18.2,8,1,6.8,8,1,0,1,8,1,6.4,0,8,1,2.9,8,1,9.1,8,1,5.8,8,1,晴時々曇,8,1
2021/2/15,14.1,8,1,8.3,8,1,76.5,0,8,1,0.6,0,8,1,2.7,8,1,12.3,8,1,7.5,8,1,大雨,8,1
2021/2/16,16.4,8,1,5.1,8,1,0,1,8,1,10.0,0,8,1,3.0,8,1,4.7,8,1,0.0,8,1,快晴,8,1
2021/2/17,13.1,8,1,2.2,8,1,0.0,0,8,1,7.0,0,8,1,4.0,8,1,3.9,8,1,2.3,8,1,晴後一時曇,8,1
2021/2/18,10.4,8,1,-0.5,8,1,0,1,8,1,7.0,0,8,1,2.9,8,1,2.8,8,1,4.3,8,1,晴後曇,8,1
2021/2/19,12.3,8,1,1.4,8,1,0,1,8,1,10.0,0,8,1,3.2,8,1,4.2,8,1,0.3,8,1,快晴,8,1
2021/2/20,18.1,8,1,1.4,8,1,0,1,8,1,9.9,0,8,1,3.3,8,1,5.6,8,1,0.0,8,1,快晴,8,1
2021/2/21,20.9,8,1,7.3,8,1,0,1,8,1,9.9,0,8,1,2.3,8,1,8.8,8,1,0.0,8,1,快晴,8,1
2021/2/22,21.9,8,1,7.7,8,1,0,1,8,1,10.2,0,8,1,2.7,8,1,8.5,8,1,1.5,8,1,快晴,8,1
2021/2/23,15.5,8,1,5.5,8,1,0,1,8,1,9.7,0,8,1,4.3,8,1,5.2,8,1,3.8,8,1,晴後一時薄曇,8,1
2021/2/24,11.9,8,1,3.2,8,1,0,1,8,1,10.1,0,8,1,4.3,8,1,3.2,8,1,7.0,8,1,晴時々薄曇,8,1
2021/2/25,11.3,8,1,1.5,8,1,0,1,8,1,8.5,0,8,1,3.0,8,1,4.5,8,1,4.5,8,1,晴時々薄曇,8,1
2021/2/26,11.8,8,1,5.6,8,1,0,1,8,1,0.0,0,8,1,2.7,8,1,4.8,8,1,10.0,8,1,曇,8,1
2021/2/27,9.6,8,1,2.1,8,1,0,1,8,1,9.9,0,8,1,3.7,8,1,3.4,8,1,5.3,8,1,薄曇後晴,8,1
2021/2/28,12.9,8,1,0.3,8,1,0,1,8,1,10.4,0,8,1,2.4,8,1,5.5,8,1,3.3,8,1,晴一時薄曇,8,1
2021/3/1,19.1,8,1,4.6,8,1,0.5,0,8,1,7.3,0,8,1,3.3,8,1,9.2,8,1,7.0,8,1,薄曇一時晴,8,1
2021/3/2,19.8,8,1,7.9,8,1,9.5,0,8,1,0.2,0,8,1,5.6,8,1,13.4,8,1,10.0,8,1,雨時々曇,8,1
2021/3/3,11.8,8,1,3.8,8,1,0,1,8,1,10.8,0,8,1,4.6,8,1,4.4,8,1,5.0,8,1,晴,8,1
2021/3/4,15.0,8,1,2.3,8,1,0,1,8,1,8.4,0,8,1,2.4,8,1,7.0,8,1,9.0,8,1,晴後薄曇,8,1
2021/3/5,17.4,8,1,8.4,8,1,2.0,0,8,1,3.6,0,8,1,1.7,8,1,10.6,8,1,9.8,8,1,曇後一時雨,8,1
2021/3/6,21.0,8,1,9.6,8,1,0.5,0,8,1,4.9,0,8,1,2.3,8,1,10.7,8,1,10.0,8,1,曇,8,1
2021/3/7,10.3,8,1,5.8,8,1,0,1,8,1,0.2,0,8,1,2.9,8,1,5.9,8,1,10.0,8,1,曇,8,1
2021/3/8,7.7,8,1,5.1,8,1,5.5,0,8,1,0.0,0,8,1,2.6,8,1,8.4,8,1,10.0,8,1,雨一時曇,8,1
2021/3/9,13.7,8,1,5.7,8,1,0.0,0,8,1,3.7,0,8,1,2.2,8,1,8.4,8,1,10.0,8,1,曇一時雨,8,1
2021/3/10,19.4,8,1,6.8,8,1,0,1,8,1,10.3,0,8,1,3.5,8,1,6.1,8,1,3.0,8,1,晴,8,1
2021/3/11,15.4,8,1,4.2,8,1,0,1,8,1,10.7,0,8,1,2.4,8,1,6.5,8,1,2.5,8,1,快晴,8,1
2021/3/12,18.0,8,1,7.5,8,1,0.0,0,8,1,2.8,0,8,1,1.9,8,1,9.3,8,1,10.0,8,1,曇,8,1
2021/3/13,13.9,8,1,8.1,8,1,65.0,0,8,1,0.0,0,8,1,3.3,8,1,12.6,8,1,9.5,8,1,大雨、雷を伴う,8,1
2021/3/14,18.2,8,1,8.1,8,1,0,1,8,1,10.8,0,8,1,5.6,8,1,6.4,8,1,0.8,8,1,快晴,8,1
2021/3/15,19.5,8,1,8.3,8,1,0,1,8,1,11.3,0,8,1,3.8,8,1,5.1,8,1,0.3,8,1,快晴,8,1
2021/3/16,22.0,8,1,7.6,8,1,0,1,8,1,7.7,0,8,1,2.8,8,1,7.9,8,1,8.5,8,1,薄曇時々晴,8,1
2021/3/17,20.1,8,1,9.0,8,1,0,1,8,1,9.6,0,8,1,3.6,8,1,5.8,8,1,2.5,8,1,晴後薄曇,8,1
2021/3/18,17.7,8,1,6.6,8,1,0,1,8,1,10.9,0,8,1,2.6,8,1,7.3,8,1,2.0,8,1,快晴,8,1
2021/3/19,18.9,8,1,9.5,8,1,0,1,8,1,7.6,0,8,1,2.7,8,1,8.6,8,1,8.0,8,1,晴時々薄曇,8,1
2021/3/20,18.6,8,1,10.8,8,1,0.0,0,8,1,1.0,0,8,1,2.0,8,1,11.0,8,1,10.0,8,1,曇,8,1
2021/3/21,19.7,8,1,12.6,8,1,46.5,0,8,1,0.0,0,8,1,5.2,8,1,18.1,8,1,10.0,8,1,大雨,8,1
2021/3/22,15.6,8,1,7.5,8,1,0.5,0,8,1,1.8,0,8,1,3.5,8,1,7.5,8,1,10.0,8,1,曇後一時雨,8,1
2021/3/23,15.8,8,1,5.3,8,1,0.0,0,8,1,11.6,0,8,1,2.9,8,1,6.0,8,1,0.5,8,1,快晴,8,1
2021/3/24,20.5,8,1,6.7,8,1,0,1,8,1,11.5,0,8,1,3.5,8,1,9.4,8,1,5.0,8,1,晴時々薄曇,8,1
2021/3/25,18.4,8,1,11.7,8,1,0.5,0,8,1,2.0,0,8,1,3.0,8,1,12.3,8,1,10.0,8,1,曇後一時雨,8,1
2021/3/26,21.2,8,1,10.2,8,1,0,1,8,1,10.8,0,8,1,3.4,8,1,6.7,8,1,2.5,8,1,晴,8,1
2021/3/27,18.3,8,1,8.0,8,1,0,1,8,1,10.2,0,8,1,3.3,8,1,7.7,8,1,7.3,8,1,晴後薄曇,8,1
2021/3/28,18.6,8,1,14.3,8,1,8.0,0,8,1,0.0,0,8,1,4.5,8,1,15.1,8,1,10.0,8,1,曇一時雨,8,1
2021/3/29,23.4,8,1,13.3,8,1,34.5,0,8,1,10.5,0,8,1,2.7,8,1,16.6,8,1,7.5,8,1,晴後時々薄曇,8,1
2021/3/30,23.3,8,1,14.0,8,1,0,1,8,1,3.1,0,8,1,2.4,8,1,15.3,8,1,9.8,8,1,曇一時晴,8,1
2021/3/31,23.4,8,1,15.0,8,1,0.0,0,8,1,9.9,0,8,1,3.2,8,1,10.8,8,1,5.0,8,1,晴,8,1
2021/4/1,21.7,8,1,13.6,8,1,0.0,0,8,1,6.5,0,8,1,2.8,8,1,11.4,8,1,7.8,8,1,曇後晴,8,1
2021/4/2,19.9,8,1,13.4,8,1,0.0,0,8,1,1.0,0,8,1,2.6,8,1,11.4,8,1,9.8,8,1,曇,8,1
2021/4/3,22.3,8,1,11.8,8,1,0,1,8,1,8.1,0,8,1,2.7,8,1,12.0,8,1,5.8,8,1,晴,8,1
2021/4/4,23.3,8,1,15.7,8,1,10.5,0,8,1,3.3,0,8,1,4.1,8,1,15.7,8,1,9.0,8,1,晴後曇時々雨,8,1
2021/4/5,17.2,8,1,8.5,8,1,18.0,0,8,1,0.0,0,8,1,3.2,8,1,13.6,8,1,8.0,8,1,雨時々曇,8,1
2021/4/6,15.7,8,1,6.4,8,1,0,1,8,1,2.5,0,8,1,2.8,8,1,8.2,8,1,7.0,8,1,曇,8,1
2021/4/7,19.6,8,1,7.9,8,1,0.0,0,8,1,10.9,0,8,1,2.5,8,1,8.8,8,1,2.8,8,1,晴,8,1
2021/4/8,18.1,8,1,9.6,8,1,2.5,0,8,1,8.2,0,8,1,3.4,8,1,9.8,8,1,5.0,8,1,晴時々薄曇一時雨,8,1
2021/4/9,18.3,8,1,7.2,8,1,0.0,0,8,1,5.3,0,8,1,3.1,8,1,6.1,8,1,5.8,8,1,晴後曇,8,1
2021/4/10,16.3,8,1,6.8,8,1,0.0,0,8,1,9.3,0,8,1,3.0,8,1,5.3,8,1,4.3,8,1,晴,8,1
2021/4/11,18.6,8,1,6.5,8,1,0,1,8,1,11.9,0,8,1,2.7,8,1,8.2,8,1,0.5,8,1,晴,8,1
2021/4/12,20.8,8,1,9.1,8,1,0,1,8,1,9.9,0,8,1,3.0,8,1,9.5,8,1,6.0,8,1,晴後時々曇,8,1
2021/4/13,20.1,8,1,12.1,8,1,0.5,0,8,1,0.7,0,8,1,3.8,8,1,14.2,8,1,10.0,8,1,曇時々雨,8,1
2021/4/14,19.2,8,1,7.6,8,1,36.0,0,8,1,0.0,0,8,1,3.6,8,1,17.0,8,1,10.0,8,1,雨,8,1
2021/4/15,16.5,8,1,6.0,8,1,0.0,0,8,1,10.1,0,8,1,3.1,8,1,6.6,8,1,6.5,8,1,晴後薄曇,8,1
2021/4/16,19.1,8,1,8.2,8,1,0.0,0,8,1,1.7,0,8,1,2.6,8,1,10.0,8,1,9.5,8,1,曇,8,1
2021/4/17,18.7,8,1,14.0,8,1,33.5,0,8,1,0.0,0,8,1,3.2,8,1,14.2,8,1,10.0,8,1,曇時々雨,8,1
2021/4/18,22.0,8,1,12.1,8,1,15.0,0,8,1,12.2,0,8,1,4.2,8,1,8.9,8,1,3.0,8,1,晴,8,1
2021/4/19,21.9,8,1,11.0,8,1,0,1,8,1,12.1,0,8,1,3.5,8,1,7.1,8,1,0.0,8,1,快晴,8,1
2021/4/20,24.5,8,1,10.6,8,1,0,1,8,1,12.1,0,8,1,2.5,8,1,9.8,8,1,2.5,8,1,快晴,8,1
2021/4/21,25.2,8,1,13.8,8,1,0,1,8,1,12.3,0,8,1,3.1,8,1,7.7,8,1,0.0,8,1,快晴,8,1
2021/4/22,26.2,8,1,11.3,8,1,0,1,8,1,8.7,0,8,1,4.2,8,1,5.8,8,1,3.3,8,1,晴時々薄曇,8,1
2021/4/23,20.4,8,1,9.0,8,1,0,1,8,1,12.4,0,8,1,3.1,8,1,7.9,8,1,1.5,8,1,晴,8,1
2021/4/24,21.6,8,1,8.9,8,1,0,1,8,1,11.0,0,8,1,2.6,8,1,9.7,8,1,8.3,8,1,薄曇一時晴,8,1
2021/4/25,23.2,8,1,12.3,8,1,0.0,0,8,1,5.7,0,8,1,3.1,8,1,11.3,8,1,6.0,8,1,薄曇後時々晴,8,1
2021/4/26,19.4,8,1,8.9,8,1,0,1,8,1,12.6,0,8,1,3.3,8,1,5.2,8,1,1.8,8,1,快晴,8,1
2021/4/27,20.4,8,1,8.2,8,1,0,1,8,1,10.1,0,8,1,3.5,8,1,9.2,8,1,4.8,8,1,薄曇時々晴,8,1
2021/4/28,23.8,8,1,10.7,8,1,0.0,0,8,1,8.0,0,8,1,3.8,8,1,12.9,8,1,7.8,8,1,曇,8,1
2021/4/29,18.8,8,1,16.0,8,1,37.0,0,8,1,0.0,0,8,1,4.4,8,1,17.8,8,1,10.0,8,1,雨,8,1
2021/4/30,24.2,8,1,12.7,8,1,3.0,0,8,1,11.9,0,8,1,3.4,8,1,13.2,8,1,5.0,8,1,快晴,8,1
